id,Action,FieldID,FieldType,FieldValue,Result
58,CLICK,xpath=//html/body/div/div[2]/div/div/form/div[2]/button[2],text,Apply &Save,Pass
59,CLICK,xpath=//html/body/div/div[2]/div/div/form/div[2]/button[3],text,Refresh,Pass
60,GET,connect,DDL,1,Pass
61,GET,gateway,DDL,1,Pass
62,GET,radioStatus,DDL,1,Pass
63,GET,sysConfig,DDL,1,Pass
64,GET,system,DDL,1,Pass
65,GET,switchConfig,DDL,1,Pass
66,GET,networkConfig,DDL,1,Pass
67,GET,network,DDL,1,Pass
68,GET,serial,DDL,1,Pass
69,GET,lcli,DDL,1,Pass
70,GET,osal,DDL,1,Pass
71,GET,flash,DDL,1,Pass
72,GET,message,DDL,1,Pass
73,GET,syslog,DDL,1,Pass
74,GET,upgrade,DDL,1,Pass
75,GET,cli,DDL,1,Pass
76,GET,snmp,DDL,1,Pass
77,GET,lldp,DDL,1,Pass
78,SET,connect,DDL,Info,Pass
79,SET,gateway,DDL,Info,Pass
80,SET,radioStatus,DDL,Info,Pass
81,SET,sysConfig,DDL,Info,Pass
82,SET,system,DDL,Info,Pass
83,SET,switchConfig,DDL,Info,Pass
84,SET,networkConfig,DDL,Info,Pass
85,SET,network,DDL,Info,Pass
86,SET,serial,DDL,Info,Pass
87,SET,lcli,DDL,Info,Pass
88,SET,osal,DDL,Info,Pass
89,SET,flash,DDL,Info,Pass
90,SET,message,DDL,Info,Pass
91,SET,syslog,DDL,Info,Pass
92,SET,upgrade,DDL,Info,Pass
93,SET,cli,DDL,Info,Pass
94,SET,snmp,DDL,Info,Pass
95,SET,lldp,DDL,Info,Pass
96,CLICK,xpath=//html/body/div/div[2]/div/div/form/div[2]/button[2],text,Apply &Save,Pass
97,CLICK,xpath=//html/body/div/div[2]/div/div/form/div[2]/button[3],text,Refresh,Pass
98,GET,connect,DDL,2,Pass
99,GET,gateway,DDL,2,Pass
100,GET,radioStatus,DDL,2,Pass
101,GET,sysConfig,DDL,2,Pass
102,GET,system,DDL,2,Pass
103,GET,switchConfig,DDL,2,Pass
104,GET,networkConfig,DDL,2,Pass
105,GET,network,DDL,2,Pass
106,GET,serial,DDL,2,Pass
107,GET,lcli,DDL,2,Pass
108,GET,osal,DDL,2,Pass
109,GET,flash,DDL,2,Pass
110,GET,message,DDL,2,Pass
111,GET,syslog,DDL,2,Pass
112,GET,upgrade,DDL,2,Pass
113,GET,cli,DDL,2,Pass
114,GET,snmp,DDL,2,Pass
115,GET,lldp,DDL,2,Pass
116,SET,connect,DDL,Warning,Pass
117,SET,gateway,DDL,Warning,Pass
118,SET,radioStatus,DDL,Warning,Pass
119,SET,sysConfig,DDL,Warning,Pass
120,SET,system,DDL,Warning,Pass
121,SET,switchConfig,DDL,Warning,Pass
122,SET,networkConfig,DDL,Warning,Pass
123,SET,network,DDL,Warning,Pass
124,SET,serial,DDL,Warning,Pass
125,SET,lcli,DDL,Warning,Pass
126,SET,osal,DDL,Warning,Pass
127,SET,flash,DDL,Warning,Pass
128,SET,message,DDL,Warning,Pass
129,SET,syslog,DDL,Warning,Pass
130,SET,upgrade,DDL,Warning,Pass
131,SET,cli,DDL,Warning,Pass
132,SET,snmp,DDL,Warning,Pass
133,SET,lldp,DDL,Warning,Pass
134,CLICK,xpath=//html/body/div/div[2]/div/div/form/div[2]/button[2],text,Apply &Save,Pass
135,CLICK,xpath=//html/body/div/div[2]/div/div/form/div[2]/button[3],text,Refresh,Pass
136,GET,connect,DDL,3,Pass
137,GET,gateway,DDL,3,Pass
138,GET,radioStatus,DDL,3,Pass
139,GET,sysConfig,DDL,3,Pass
140,GET,system,DDL,3,Pass
141,GET,switchConfig,DDL,3,Pass
142,GET,networkConfig,DDL,3,Pass
143,GET,network,DDL,3,Pass
144,GET,serial,DDL,3,Pass
145,GET,lcli,DDL,3,Pass
146,GET,osal,DDL,3,Pass
147,GET,flash,DDL,3,Pass
148,GET,message,DDL,3,Pass
149,GET,syslog,DDL,3,Pass
150,GET,upgrade,DDL,3,Pass
151,GET,cli,DDL,3,Pass
152,GET,snmp,DDL,3,Pass
153,GET,lldp,DDL,3,Pass
154,SET,connect,DDL,Error,Pass
155,SET,gateway,DDL,Error,Pass
156,SET,radioStatus,DDL,Error,Pass
157,SET,sysConfig,DDL,Error,Pass
158,SET,system,DDL,Error,Pass
159,SET,switchConfig,DDL,Error,Pass
160,SET,networkConfig,DDL,Error,Pass
161,SET,network,DDL,Error,Pass
162,SET,serial,DDL,Error,Pass
163,SET,lcli,DDL,Error,Pass
164,SET,osal,DDL,Error,Pass
165,SET,flash,DDL,Error,Pass
166,SET,message,DDL,Error,Pass
167,SET,syslog,DDL,Error,Pass
168,SET,upgrade,DDL,Error,Pass
169,SET,cli,DDL,Error,Pass
170,SET,snmp,DDL,Error,Pass
171,SET,lldp,DDL,Error,Pass
172,CLICK,xpath=//html/body/div/div[2]/div/div/form/div[2]/button[2],text,Apply &Save,Pass
173,CLICK,xpath=//html/body/div/div[2]/div/div/form/div[2]/button[3],text,Refresh,Pass
174,GET,connect,DDL,4,Pass
175,GET,gateway,DDL,4,Pass
176,GET,radioStatus,DDL,4,Pass
177,GET,sysConfig,DDL,4,Pass
178,GET,system,DDL,4,Pass
179,GET,switchConfig,DDL,4,Pass
180,GET,networkConfig,DDL,4,Pass
181,GET,network,DDL,4,Pass
182,GET,serial,DDL,4,Pass
183,GET,lcli,DDL,4,Pass
184,GET,osal,DDL,4,Pass
185,GET,flash,DDL,4,Pass
186,GET,message,DDL,4,Pass
187,GET,syslog,DDL,4,Pass
188,GET,upgrade,DDL,4,Pass
189,GET,cli,DDL,4,Pass
190,GET,snmp,DDL,4,Pass
191,GET,lldp,DDL,4,Pass
192,SET,connect,DDL,Fatal,Pass
193,SET,gateway,DDL,Fatal,Pass
194,SET,radioStatus,DDL,Fatal,Pass
195,SET,sysConfig,DDL,Fatal,Pass
196,SET,system,DDL,Fatal,Pass
197,SET,switchConfig,DDL,Fatal,Pass
198,SET,networkConfig,DDL,Fatal,Pass
199,SET,network,DDL,Fatal,Pass
200,SET,serial,DDL,Fatal,Pass
201,SET,lcli,DDL,Fatal,Pass
202,SET,osal,DDL,Fatal,Pass
203,SET,flash,DDL,Fatal,Pass
204,SET,message,DDL,Fatal,Pass
205,SET,syslog,DDL,Fatal,Pass
206,SET,upgrade,DDL,Fatal,Pass
207,SET,cli,DDL,Fatal,Pass
208,SET,snmp,DDL,Fatal,Pass
209,SET,lldp,DDL,Fatal,Pass
210,CLICK,xpath=//html/body/div/div[2]/div/div/form/div[2]/button[2],text,Apply &Save,Pass
211,CLICK,xpath=//html/body/div/div[2]/div/div/form/div[2]/button[3],text,Refresh,Pass
212,GET,connect,DDL,5,Pass
213,GET,gateway,DDL,5,Pass
214,GET,radioStatus,DDL,5,Pass
215,GET,sysConfig,DDL,5,Pass
216,GET,system,DDL,5,Pass
217,GET,switchConfig,DDL,5,Pass
218,GET,networkConfig,DDL,5,Pass
219,GET,network,DDL,5,Pass
220,GET,serial,DDL,5,Pass
221,GET,lcli,DDL,5,Pass
222,GET,osal,DDL,5,Pass
223,GET,flash,DDL,5,Pass
224,GET,message,DDL,5,Pass
225,GET,syslog,DDL,5,Pass
226,GET,upgrade,DDL,5,Pass
227,GET,cli,DDL,5,Pass
228,GET,snmp,DDL,5,Pass
229,GET,lldp,DDL,5,Pass
230,CLICK,xpath=//html/body/div/div[2]/div/div/form/div[1]/button[1],text,Set all to Info,Pass
231,CLICK,xpath=//html/body/div/div[2]/div/div/form/div[2]/button[2],text,Apply &Save,Pass
232,CLICK,xpath=//html/body/div/div[2]/div/div/form/div[2]/button[3],text,Refresh,Pass
233,GET,connect,DDL,2,Pass
234,GET,gateway,DDL,2,Pass
235,GET,radioStatus,DDL,2,Pass
236,GET,sysConfig,DDL,2,Pass
237,GET,system,DDL,2,Pass
238,GET,switchConfig,DDL,2,Pass
239,GET,networkConfig,DDL,2,Pass
240,GET,network,DDL,2,Pass
241,GET,serial,DDL,2,Pass
242,GET,lcli,DDL,2,Pass
243,GET,osal,DDL,2,Pass
244,GET,flash,DDL,2,Pass
245,GET,message,DDL,2,Pass
246,GET,syslog,DDL,2,Pass
247,GET,upgrade,DDL,2,Pass
248,GET,cli,DDL,2,Pass
249,GET,snmp,DDL,2,Pass
250,GET,lldp,DDL,2,Pass
251,CLICK,xpath=//html/body/div/div[2]/div/div/form/div[1]/button[2],text,Set all to Debug,Pass
252,CLICK,xpath=//html/body/div/div[2]/div/div/form/div[2]/button[2],text,Apply &Save,Pass
253,CLICK,xpath=//html/body/div/div[2]/div/div/form/div[2]/button[3],text,Refresh,Pass
254,GET,connect,DDL,1,Pass
255,GET,gateway,DDL,1,Pass
256,GET,radioStatus,DDL,1,Pass
257,GET,sysConfig,DDL,1,Pass
258,GET,system,DDL,1,Pass
259,GET,switchConfig,DDL,1,Pass
260,GET,networkConfig,DDL,1,Pass
261,GET,network,DDL,1,Pass
262,GET,serial,DDL,1,Pass
263,GET,lcli,DDL,1,Pass
264,GET,osal,DDL,1,Pass
265,GET,flash,DDL,1,Pass
266,GET,message,DDL,1,Pass
267,GET,syslog,DDL,1,Pass
268,GET,upgrade,DDL,1,Pass
269,GET,cli,DDL,1,Pass
270,GET,snmp,DDL,1,Pass
271,GET,lldp,DDL,1,Pass
272,CLICK,xpath=//html/body/div/div[2]/div/div/form/div[1]/button[3],text,Set all to Detail,Pass
273,CLICK,xpath=//html/body/div/div[2]/div/div/form/div[2]/button[2],text,Apply &Save,Pass
274,CLICK,xpath=//html/body/div/div[2]/div/div/form/div[2]/button[3],text,Refresh,Pass
275,GET,connect,DDL,0,Pass
276,GET,gateway,DDL,0,Pass
277,GET,radioStatus,DDL,0,Pass
278,GET,sysConfig,DDL,0,Pass
279,GET,system,DDL,0,Pass
280,GET,switchConfig,DDL,0,Pass
281,GET,networkConfig,DDL,0,Pass
282,GET,network,DDL,0,Pass
283,GET,serial,DDL,0,Pass
284,GET,lcli,DDL,0,Pass
285,GET,osal,DDL,0,Pass
286,GET,flash,DDL,0,Pass
287,GET,message,DDL,0,Pass
288,GET,syslog,DDL,0,Pass
289,GET,upgrade,DDL,0,Pass
290,GET,cli,DDL,0,Pass
291,GET,snmp,DDL,0,Pass
292,GET,lldp,DDL,0,Pass
