id,Action,FieldID,FieldType,FieldValue,ExpectedResult
101,SET,gateway2_raw_tcpServer_enableDelim2,checkbox,off,Pass
102,SET,gateway2_raw_tcpServer_delimAction,DDL,Delimiter_Plus_1,Pass
103,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[2],button,Apply &Save,Pass
104,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[3],button,Refresh,Pass
105,GET,gateway2_comPort,DDL,1,Pass
106,GET,gateway2_raw_tcpServer_enableDelim2,checkbox,off,Pass
107,GET,gateway2_raw_tcpServer_delimAction,DDL,1,Pass
108,SET,gateway1_comPort,DDL,DATA2,Pass
109,SET,gateway1_raw_tcpServer_enableDelim1,checkbox,off,Pass
110,SET,gateway1_raw_tcpServer_delimAction,DDL,Delimiter_Plus_2,Pass
111,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[2],button,Apply &Save,Pass
112,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[3],button,Refresh,Pass
113,GET,gateway1_comPort,DDL,2,Pass
114,GET,gateway1_raw_tcpServer_enableDelim1,checkbox,off,Pass
115,GET,gateway1_raw_tcpServer_delimAction,DDL,3,Pass
116,SET,gateway1_comPort,DDL,DATA1,Pass
117,SET,gateway2_comPort,DDL,DATA2,Pass
118,SET,gateway2_raw_tcpServer_enableDelim1,checkbox,off,Pass
119,SET,gateway2_raw_tcpServer_delimAction,DDL,Delimiter_Plus_2,Pass
120,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[2],button,Apply &Save,Pass
121,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[3],button,Refresh,Pass
122,GET,gateway2_comPort,DDL,2,Pass
123,GET,gateway2_raw_tcpServer_enableDelim1,checkbox,off,Pass
124,GET,gateway2_raw_tcpServer_delimAction,DDL,1,Pass
125,GET,gateway1_comPort,DDL,1,Pass
126,SET,gateway2_raw_tcpServer_delimAction,DDL,Strip,Pass
127,SET,xpath=//input[@name='gateway2_raw_tcpServer_tcpPort'],text,5500,Pass
128,SET,xpath=//input[@name='gateway2_raw_tcpServer_maxConn'],text,8,Pass
129,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[2],button,Apply &Save,Pass
130,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[3],button,Refresh,Pass
131,GET,gateway2_raw_tcpServer_delimAction,DDL,1,Pass
132,GET,xpath=//input[@name='gateway2_raw_tcpServer_tcpPort'],text,5500,Pass
133,GET,xpath=//input[@name='gateway2_raw_tcpServer_maxConn'],text,8,Pass
134,SET,gateway1_mode,DDL,Inactive,Pass
135,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[2],button,Apply &Save,Pass
136,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[3],button,Refresh,Pass
137,GET,gateway1_mode,DDL,0,Pass
138,SET,gateway1_mode,DDL,Raw_TCP_Server,Pass
139,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[2],button,Apply &Save,Pass
140,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[3],button,Refresh,Pass
141,GET,gateway1_mode,DDL,1,Pass
142,SET,gateway1_mode,DDL,Modbus_TCP_Server,Pass
143,SET,gateway1_comPort,DDL,Unassigned,Pass
144,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[2],button,Apply &Save,Pass
145,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[3],button,Refresh,Pass
146,GET,gateway1_mode,DDL,2,Pass
147,GET,gateway1_comPort,DDL,0,Pass
148,SET,gateway1_comPort,DDL,DATA1,Pass
149,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[2],button,Apply &Save,Pass
150,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[3],button,Refresh,Pass
151,GET,gateway1_mode,DDL,2,Pass
152,GET,gateway1_comPort,DDL,1,Pass
153,SET,xpath=//input[@name='gateway1_modbus_tcpServer_tcpPort'],text,502,Pass
154,SET,xpath=//input[@name='gateway1_modbus_tcpServer_maxConn'],text,3,Pass
155,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[2],button,Apply &Save,Pass
156,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[3],button,Refresh,Pass
157,GET,xpath=//input[@name='gateway1_modbus_tcpServer_tcpPort'],text,502,Pass
158,GET,xpath=//input[@name='gateway1_modbus_tcpServer_maxConn'],text,3,Pass
159,SET,gateway2_mode,DDL,Inactive,Pass
160,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[2],button,Apply &Save,Pass
161,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[3],button,Refresh,Pass
162,GET,gateway2_mode,DDL,0,Pass
163,SET,gateway2_mode,DDL,Raw_TCP_Server,Pass
164,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[2],button,Apply &Save,Pass
165,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[3],button,Refresh,Pass
166,GET,gateway2_mode,DDL,1,Pass
167,SET,gateway2_mode,DDL,Modbus_TCP_Server,Pass
168,SET,gateway2_comPort,DDL,Unassigned,Pass
169,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[2],button,Apply &Save,Pass
170,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[3],button,Refresh,Pass
171,GET,gateway2_mode,DDL,2,Pass
172,GET,gateway2_comPort,DDL,0,Pass
173,SET,gateway2_comPort,DDL,DATA2,Pass
174,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[2],button,Apply &Save,Pass
175,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[3],button,Refresh,Pass
176,GET,gateway2_mode,DDL,2,Pass
177,GET,gateway2_comPort,DDL,2,Pass
178,SET,xpath=//input[@name='gateway2_modbus_tcpServer_tcpPort'],text,503,Pass
179,SET,xpath=//input[@name='gateway2_modbus_tcpServer_maxConn'],text,1,Pass
180,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[2],button,Apply &Save,Pass
181,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[3],button,Refresh,Pass
182,GET,xpath=//input[@name='gateway2_modbus_tcpServer_tcpPort'],text,503,Pass
183,GET,xpath=//input[@name='gateway2_modbus_tcpServer_maxConn'],text,1,Pass
